Form	MemberID	Exp	Geozone	Location	Date	STemp	BTemp	BTime	Start	Visib	AvgDepth	MaxDepth	Current	Habitat	Species	Family	Abundance
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	2	36	3
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	33	37	3
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	532	6	1
5198136	74999	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	0	60	17	5	6	8	2	1	95	49	3
5198202	39071	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	59	16	2	7	9	2	7	30	37	4
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	23	22	2
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	72	19	3
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	15	10	2
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	142	23	3
5198136	74999	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	0	60	17	5	6	8	2	1	2	36	2
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	48	18	3
5198656	52032	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	86	82	61	17	3	6	8	3	7	58	44	3
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	50	18	2
5198202	39071	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	59	16	2	7	9	2	7	84	33	2
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	19	2	3
5198656	52032	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	86	82	61	17	3	6	8	3	7	7	9	2
5198656	52032	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	86	82	61	17	3	6	8	3	7	49	18	2
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	23	22	3
5198202	39071	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	59	16	2	7	9	2	7	9	50	4
5199003	25096	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	80	59	17	3	5	9	2	1	53	44	2
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	113	44	2
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	7	9	2
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	42	28	1
5198656	52032	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	86	82	61	17	3	6	8	3	7	137	4	3
5198136	74999	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	0	60	17	5	6	8	2	1	103	30	2
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	10	9	3
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	137	4	2
5198202	39071	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	59	16	2	7	9	2	7	19	2	2
5199003	25096	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	80	59	17	3	5	9	2	1	32	37	2
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	23	22	3
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	19	2	2
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	2	36	2
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	30	37	3
5198136	74999	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	0	60	17	5	6	8	2	1	37	37	2
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	155	45	1
5199003	25096	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	80	59	17	3	5	9	2	1	148	23	2
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	525	24	1
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	328	51	1
5198202	39071	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	59	16	2	7	9	2	7	33	37	3
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	137	4	3
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	49	18	2
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	9	50	4
5199003	25096	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	80	59	17	3	5	9	2	1	137	4	3
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	60	44	3
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	479	24	2
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	30	37	3
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	72	19	4
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	479	24	1
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	2	36	2
5198202	39071	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	59	16	2	7	9	2	7	328	51	1
5198136	74999	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	0	60	17	5	6	8	2	1	18	10	3
5198656	52032	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	86	82	61	17	3	6	8	3	7	9	50	3
5198202	39071	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	59	16	2	7	9	2	7	23	22	3
5198656	52032	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	86	82	61	17	3	6	8	3	7	511	76	2
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	33	37	3
5199003	25096	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	80	59	17	3	5	9	2	1	23	22	3
5198656	52032	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	86	82	61	17	3	6	8	3	7	42	28	1
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	141	23	2
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	37	37	3
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	12	24	3
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	141	23	2
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	60	44	2
5199003	25096	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	80	59	17	3	5	9	2	1	142	23	2
5198202	39071	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	59	16	2	7	9	2	7	113	44	3
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	37	37	2
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	113	44	2
5198656	52032	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	86	82	61	17	3	6	8	3	7	2	36	2
5198136	74999	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	0	60	17	5	6	8	2	1	15	10	2
5199003	25096	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	80	59	17	3	5	9	2	1	155	45	2
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	9	50	3
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	112	43	1
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	23	22	3
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	42	28	1
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	84	33	2
5198136	74999	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	0	60	17	5	6	8	2	1	328	51	2
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	7	9	2
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	328	51	2
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	113	44	4
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	10	9	3
5198202	39071	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	59	16	2	7	9	2	7	60	44	3
5198136	74999	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	0	60	17	5	6	8	2	1	32	37	3
5198202	39071	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	59	16	2	7	9	2	7	32	37	4
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	3	36	3
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	141	23	2
5198656	52032	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	86	82	61	17	3	6	8	3	7	33	37	2
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	3	36	3
5199003	25096	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	80	59	17	3	5	9	2	1	42	28	1
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	155	45	1
5199003	25096	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	80	59	17	3	5	9	2	1	30	37	2
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	50	18	3
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	112	43	2
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	15	10	2
5198202	39071	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	59	16	2	7	9	2	7	142	23	3
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	12	24	2
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	33	37	3
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	9	50	4
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	37	37	3
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	49	18	2
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	3	36	3
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	30	37	3
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	58	44	2
5198202	39071	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	59	16	2	7	9	2	7	137	4	4
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	23	22	2
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	60	44	2
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	141	23	1
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	64	19	2
5198202	39071	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	59	16	2	7	9	2	7	2	36	2
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	48	18	3
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	137	4	3
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	141	23	2
5198656	52032	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	86	82	61	17	3	6	8	3	7	60	44	2
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	60	44	4
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	58	44	2
5199003	25096	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	80	59	17	3	5	9	2	1	37	37	3
5198656	52032	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	86	82	61	17	3	6	8	3	7	19	2	2
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	112	43	2
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	48	18	2
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	58	44	3
5198202	39071	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	59	16	2	7	9	2	7	148	23	1
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	32	37	3
5198656	52032	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	86	82	61	17	3	6	8	3	7	36	37	3
5199003	25096	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	80	59	17	3	5	9	2	1	128	25	2
5198136	74999	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	0	60	17	5	6	8	2	1	84	33	2
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	142	23	4
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	511	76	2
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	50	18	3
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	32	37	3
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	48	18	2
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	150	23	2
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	58	44	2
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	142	23	4
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	2	36	2
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	58	44	3
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	50	18	3
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	32	37	3
5198656	52032	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	86	82	61	17	3	6	8	3	7	141	23	2
5198202	39071	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	59	16	2	7	9	2	7	37	37	2
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	65	19	2
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	30	37	3
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	148	23	2
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	37	37	3
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	64	19	1
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	9	50	3
5198656	52032	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	86	82	61	17	3	6	8	3	7	37	37	2
5198656	52032	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	86	82	61	17	3	6	8	3	7	32	37	3
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	42	28	1
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	9	50	4
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	32	37	4
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	2	36	2
5199003	25096	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	80	59	17	3	5	9	2	1	508	50	3
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	33	37	3
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	10	9	2
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	19	2	3
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	3	36	2
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	36	37	3
5198292	78297	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	82	82	62	17	3	5	7	3	7	112	43	2
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	84	33	2
5198494	31171	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	84	84	62	17	2	5	7	3	1	10	9	2
5199003	25096	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	80	59	17	3	5	9	2	1	2	36	2
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	12	24	3
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	525	24	2
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	49	18	2
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	32	37	4
5198202	39071	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	59	16	2	7	9	2	7	3	36	3
5198656	52032	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	86	82	61	17	3	6	8	3	7	84	33	1
5199189	27929	E	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	83	81	62	17	3	5	8	2	7	148	23	1
5198656	52032	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	86	82	61	17	3	6	8	3	7	23	22	2
5198566	44564	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	0	0	62	17	3	5	7	3	7	362	23	2
5198426	61018	N	21540101	La Muela Angel Rock (Angel de la Guarda)	9/25/22	88	82	61	17	2	5	7	3	7	15	10	2
